gene_id,cluster
Ap3.1927,1
Ap3.1920,1
Ap3.38,1
Ap3.35,1
Ap3.34,1
Ap3.36,1
Ap3.31,2
Ap3.30,1
Ap3.2059,1
Ap3.2056,1
Ap3.2053,1
Ap3.2051.1.5f15e662,1
Ap3.1882,1
Ap3.2314,1
Ap3.2315,1
Ap3.1578,1
Ap3.760,1
Ap3.769,1
Ap3.1445,1
Ap3.251,1
Ap3.252,1
Ap3.257,1
Ap3.1309,1
Ap3.1303,1
Ap3.1304,1
Ap3.358,1
Ap3.1195,1
Ap3.1809,1
Ap3.1119,1
Ap3.2393,1
Ap3.1176,1
Ap3.2155,1
Ap3.2158,2
Ap3.1831,1
Ap3.1832,1
Ap3.2459,1
Ap3.2452,1
Ap3.2457,1
Ap3.2456,1
Thr_688_exon,1
Ap3.1434,1
Ap3.1435,1
Ap3.1386,1
Ap3.1387,1
Ap3.1384,1
Ap3.939,1
Ap3.934,1
Ap3.2298,1
Ap3.485,1
Ap3.487,1
Ap3.151,1
Ap3.1016,1
Ap3.1017,1
Ap3.1010,1
Ap3.228,1
Ap3.227,1
Ap3.2213,1
Ap3.1992,1
Ap3.1994,2
Ap3.386,1
Ap3.2027,1
Ap3.2024,1
Ap3.1540,1
Ap3.1541,1
Ap3.1542,1
Ap3.1545,1
Ap3.1546,2
Ap3.1548,1
Ap3.801,1
Ap3.2188,1
Ap3.1033,2
Ap3.1034,1
Ap3.1971,1
Ap3.1972,1
Ap3.306,1
Ap3.305,1
Ap3.303,1
Ap3.49,1
Ap3.47,1
Ap3.41,1
Ap3.42,1
Ap3.43,1
Ap3.560,1
Ap3.561,2
Ap3.690,1
Ap3.691,1
Ap3.1838,1
Ap3.1839,1
Ap3.2341,1
Ap3.1295,1
Ap3.1878,1
Ap3.1879,1
Ap3.1877,1
Ap3.884,1
Ap3.880,1
Ap3.882,1
Ap3.2109,2
Ap3.2101,2
Ap3.2103,1
Ap3.713,1
Ap3.719,1
Ap3.718,1
Ap3.1661,1
Ap3.1660,1
Ap3.1664,1
Ap3.1297,1
Ap3.1247,1
Ap3.1466,1
Ap3.1469,1
Ap3.1468,1
Ap3.104,1
Ap3.105,1
Ap3.106,1
Ap3.107,1
Ap3.103,1
Ap3.108,1
Ap3.2319,1
Ap3.797,1
Ap3.792,1
Ap3.2422,1
Ap3.2420,1
Ap3.961,1
Ap3.965,1
Ap3.2221,1
Ap3.2222,1
Ap3.189,1
Ap3.184,1
Ap3.186,2
Ap3.180,1
Ap3.182,1
Ap3.1255,1
Ap3.99,1
Ap3.96,1
Ap3.95,1
Ap3.93,1
Ap3.90,1
Ap3.1570,1
Ap3.667,1
Ap3.669,1
Ap3.668,1
Ap3.1597,1
Ap3.1047,1
Ap3.274,1
Ap3.275,1
Ap3.1077,1
Ap3.857,1
Ap3.854,1
Ap3.853,1
Ap3.851,1
